,ALink,SName,SLink,Lyric,Idiom
35,/10000-maniacs/,blind faith,/10000-maniacs/blind-faith.html,love break apart myth human kindness love break apart amyth human kindness love break apart myth human kindness panic worried night tempting rise panic worried night tempting rise panic worried night tempting rise doubt shed desire blind faith surmise doubt shed desire blind faith surmise doubt shed deny blind faith halfsurmises modern man see modern man see piety obsolete faith obsolete mysticism obsolete prophetic vision obsolete modern man see modern mad see love break apart myth human kindness love break apart myth human kindness love break apart myth human kindness panic worried night tempting rise panic worried night tempting rise panic worried night tempting rise doubt shed desire blind faith surmise doubt shed desire blind faith surmise doubt shed deny blind faith halfsurmises modern man see modern man see piety obsolete faith obsolete mysticism obsolete prophetic vision obsolete modern man see modern mad see,ENGLISH
36,/10000-maniacs/,bread circuses,/10000-maniacs/bread-and-circuses.html,billy bragg natalie merchant crowd gather round kneeling foot common thief hungry word god would never speak offer healing hand balm redemption would cross palm theyll tell trouble lord ever much afford hand holding hand circle sinner saint memory linger cradle placing puzzle grave grave mortal skin bone live bread circus alone spirit need must drive mystery alive chorus look book read cold heart say follow dance dust frenzy desperately need led voice men invoke ritual hide greed hide greed every tongue every eye across crumbling earth cracking sky gate hell stand open wide path glory walk single file chorus men make cage soul came free turn light tent theyre fixing leave instrumental follow chorus theyll close book leave youll remain still pain,ENGLISH
37,/10000-maniacs/,cabaret,/10000-maniacs/cabaret.html,music maniac lyric mary ramsey shard glass cut gaze broken streamer hanging leg drunk giddy full fate cabaret smokey stare bar stray bottle tumble feel misty spray perfect perfect day cabaret afar see venus rise overwhelmingly beautiful sigh look love eye put hand upon leg looking closer lust begin fade drag queen say could dream fellini would proud gluttony enfolds scene give one last round shining face dance away swinging skirt panted leg kaleidescoping shassez blink glass fly suddenly joy becomes fight tossed turned sight,ENGLISH
38,/10000-maniacs/,cant ignore train,/10000-maniacs/cant-ignore-the-train.html,steep water tower painted blue match sky cant ignore train night walk valley silent could swear earth moved cant ignore train dust kicked crack faced idle sinister town screen door rail station devil shoe ran along side wasted track hem pin darted calf cant ignore train one spoiled girl tidiest apology wedged inside throat cant ignore train patience virtue never could abide dungeon life electric light clean towel basin mantle figure mind place laugh belong adventure adventuresome rage share wardrobe mirror room beige cold cant ignore train window day saw child pick street game thirty afternoon molly boy starting rhymic teasing second daughter fell young locked folk prison made dwell til theyre braiding grey hair sitting wishing chair sitting wishing chair sitting wishing chair,ENGLISH
39,/10000-maniacs/,candy everybody wants,/10000-maniacs/candy-everybody-wants.html,lust hate candy blood love taste sweet give em want hey hey give em want eye growing hazy co wanna turn mind soft lazy well hey give em want lust hate candy blood love taste sweet give em want eye growing hazy co wanna turn mind soft lazy well wanna blame hey hey give em want lust hate candy blood love taste sweet give em want eye growing hazy co wanna turn mind soft lazy well wanna blame,ENGLISH
40,/10000-maniacs/,cherry tree,/10000-maniacs/cherry-tree.html,shoulder please mind eye fallen onto magazine ive watching wondering face changing every line read line circle mystery eve pull apple give taste would wonderful pride way cannot read save life ashamed say live silence afraid speak life darkness cannot read line circle mystery eve pull apple give taste could would wonderful wouldnt need someone el eye see whats front one guiding make humble green every kid learns line circle frighten fear ill trampled reach run ill take fall pick slowly ill devour every one book tower knowledge,ENGLISH
41,/10000-maniacs/,circle dream,/10000-maniacs/circle-dream.html,dreamed circle dreamed circle round circle made world unformed unborn yet volume sphere earth moon revolve around room dreamed circle dreamed circle round circle maze terrible spiral lost blind fear escaping feel every turn way sealed dreamed circle dreamed circle round circle face eye looked upon fondness warmth coming near calling sweetness calling dear whispered cant rest dreamed circle dreamed circle round,ENGLISH
42,/10000-maniacs/,city angels,/10000-maniacs/city-of-angels.html,robert bucknatalie merchant heaven heaven see walking dare call walking stumble stagger fall drag along street heaven blessed table feed hunger earth welcomed seated one joyfully served see walking dare call walking stumble stagger fall drag along street heaven halo glow round face wing grow shoulder blade show sobering sight ive seen city angel one rude awakening due heaven would heavenly music convinced host dearly meet hosanna sung door sobering sight ive seen city angel one rude awakening due heaven city fallen angel,ENGLISH
43,/10000-maniacs/,cotton alley,/10000-maniacs/cotton-alley.html,one made cry proud remember chin sore bruise gone spot tender gave hand sister coy cotton alley enjoy wicked game curious boy tied lace together fell laughed belly sore brick laid aisle behind five dime store thats made blush doubt remember tear genuine skilled pretender nothing precious plain see make fuss loud soft somewhere say sorry let word mean little pest never took hint could never take hint pinched finger door tossed coloring book rusty barrel pulled spider hair finger door favorite blue blouse stained back running berry war hear scream cotton alley scream cotton alley cotton alley,ENGLISH
44,/10000-maniacs/,daktari,/10000-maniacs/daktari.html,weasel clover tilt toss pop turn sit tremble weave moth flame deceived sit spill word caught dance room slide buttered roll back tomb sit bolt scuff jilt chase circle riddle shake haste sit thundercloud sound ant scatter high ground,ENGLISH
45,/10000-maniacs/,dallas,/10000-maniacs/dallas.html,chorus ever see dallas dc night dallas jewel yeah dallas beautiful sight dallas jungle dallas give beautiful light ever see dallas dc night dallas woman walk shes kind wanna take around dallas aint woman help foot ground dallas woman walk oh came dallas bright light mind came dallas dollar dime dallas rich man death wish eye steel concrete soul warmhearted love disguise rich man tends believe lie say dallas rich man death wish yes oh came dallas brights light mind came dallas dollar dime chorus,ENGLISH
